brand_normalized,n_models,n_queries,mean_position
Hilton Honors,11,1,2.5575757575757576
HubSpot,11,3,1.4115384615384616
Pipedrive,11,1,3.3454545454545452
Microsoft Azure,11,1,1.1878787878787878
Doxy.me,11,1,1.018181818181818
QuickBooks,11,2,2.4092592592592594
Tableau,11,1,1.6242424242424243
Marriott Bonvoy,11,1,1.2
Headspace,11,1,2.262121212121212
Klaviyo,11,1,1.0
Segment,11,1,1.2727272727272727
Salesforce,11,2,1.7555555555555555
Linear,10,1,1.8133333333333332
Microsoft Power BI,10,1,1.4866666666666668
Google Flights,10,1,1.0
FreshBooks,10,2,1.9291666666666665
CrowdStrike Falcon,10,1,1.0
Calm,10,1,3.075
Microsoft Entra ID,10,1,2.1
Microsoft Defender for Endpoint,10,1,2.85
Beaches Resorts,10,1,1.04
NetSuite,10,1,1.6800000000000002
Ping Identity,10,1,3.025
Rippling,10,1,1.9216666666666669
SentinelOne Singularity,9,1,2.1666666666666665
Betterment,9,1,1.7037037037037035
Bluevine,9,1,1.9351851851851853
Club Med,9,1,2.066666666666667
World of Hyatt,9,1,2.240740740740741
Wealthfront,9,1,1.7111111111111112
Wave,9,1,3.4722222222222223
Skyscanner,9,1,2.2666666666666666
NOW Foods,9,1,3.3740740740740742
Sage Intacct,9,1,1.862962962962963
RXBAR,9,1,1.8499999999999999
Gusto,9,1,1.674074074074074
Stumptown Coffee Roasters,8,1,2.377083333333333
Google Cloud Platform,8,1,3.05
Momondo,8,1,3.783333333333333
Mercury,8,1,2.25
Merry Maids,8,1,1.9854166666666666
IHG One Rewards,8,1,4.0
Pure Encapsulations,8,1,2.2354166666666666
ClickUp,8,1,3.5416666666666665
Chase Sapphire Reserve,8,1,1.2
Capital One Venture X,8,1,2.20625
Xero,8,1,3.3625
Asana,8,1,3.604166666666667
Microsoft Sentinel,8,1,1.40625
Counter Culture Coffee,8,1,1.5729166666666667
Zoom for Healthcare,8,1,2.675
ASUS ROG Zephyrus G14,8,1,1.4
Brex Card,7,1,3.0285714285714285
Vanguard Digital Advisor,7,1,3.0309523809523813
Novo,7,1,2.7785714285714285
Amazon Web Services,7,1,1.7333333333333332
Woebot,7,1,1.638095238095238
IBM Cloud,7,1,4.226190476190476
Okta,7,1,1.0
Domo,7,1,3.7809523809523813
Roborock S8 MaxV Ultra,7,1,1.0
Thorne,7,1,1.0
Jira,7,1,1.0357142857142858
Seventh Generation,6,1,1.7583333333333335
Chase Ink Business Preferred,6,1,2.1
Samsung SmartThings Station,6,1,3.1222222222222222
Sanvello,6,1,3.0555555555555554
Home Assistant,6,1,2.477777777777778
Kayak,6,1,2.863888888888889
Sennheiser Momentum 4 Wireless,6,1,3.4333333333333336
British Airways,6,1,4.3
Iterable,6,1,3.236111111111111
Molly Maid,6,1,1.7333333333333334
Bose QuietComfort Ultra,6,1,1.9666666666666668
Qlik Sense,6,1,4.347222222222222
Apple AirPods Max,6,1,4.058333333333334
Paychex Flex,6,1,3.8833333333333333
Purina Pro Plan,6,1,1.7833333333333332
Athenahealth,6,1,1.388888888888889
Zoho,6,1,4.277777777777778
ADP Workforce Now,6,1,2.591666666666667
Microsoft Dynamics 365,5,1,3.56
Elastic Security,5,1,3.16
Thumbtack,5,1,2.6
Onyx Coffee Lab,5,1,2.9899999999999998
Life Extension,5,1,4.816666666666666
Royal Canin Medium Adult,5,1,1.35
Royal Canin,5,1,2.18
Fujifilm X-S20,5,1,1.85
SimplePractice,5,1,2.3833333333333333
Sony WH-1000XM6,5,1,1.04
Blue Bottle Coffee,5,1,3.02
Intelligentsia Coffee,5,1,2.7199999999999998
Amazon Echo Hub,5,1,3.02
Momentous,5,1,3.6
Delta Air Lines,5,1,2.433333333333333
Air France,5,1,2.0300000000000002
Whoop 4.0,5,1,2.88
DrChrono,5,1,3.0233333333333334
ActiveCampaign,5,2,3.4583333333333335
Bright Horizons,5,1,2.16
Virgin Atlantic,5,1,2.96
Braze,5,1,2.04
Intelligentsia,5,1,2.16
Schwab Intelligent Portfolios Premium,4,1,3.5833333333333335
Splunk Enterprise Security,4,1,2.5833333333333335
Fidelity Go,4,1,4.375
Apple HomePod,4,1,2.4791666666666665
The Platinum Card from American Express,4,1,2.1625
Firestone Complete Auto Care,4,1,3.125
Stripe Invoicing,4,1,3.3125
Angi,4,2,3.5416666666666665
Fitbit Charge 6,4,1,4.304166666666667
Garmin Venu 3,4,1,2.575
Dropps,4,1,1.6625
Paylocity,4,1,3.5
HoneyBook,4,1,3.225
Hyatt Ziva,4,1,3.3625
Elation Health,4,1,2.1625
Schwab Intelligent Portfolios,4,1,3.3333333333333335
Capital One Spark Cash Plus,4,1,2.5
Native,4,1,1.775
Jira Software,4,1,1.4666666666666668
OneLogin,4,1,4.2
Rapid7 InsightIDR,4,1,2.475
American Express Business Platinum,4,1,1.7375
ADP Run,4,1,2.6
Accor Live Limitless,4,1,5.0
Wysa,4,1,2.9
Lili,4,1,3.833333333333333
Klean Athlete,4,1,3.716666666666667
Palo Alto Networks Cortex XDR,4,1,4.0625
Oracle Cloud Infrastructure,3,1,5.288888888888889
Native Deodorant,3,1,1.5333333333333332
Expedia,3,1,5.444444444444444
Eukanuba Adult Medium Breed,3,1,3.4166666666666665
Omnisend,3,1,2.1999999999999997
Okta Workforce Identity,3,1,1.0
OM System OM-5,3,1,4.666666666666667
Sony WH-1000XM5,3,1,1.0
Oura Ring Gen 3,3,1,3.4166666666666665
Nordic Naturals,3,1,4.555555555555556
NextGen Healthcare,3,1,2.6333333333333333
Google Nest Hub Max,3,1,3.3166666666666664
Going,3,1,3.7999999999999994
Singapore Airlines,3,1,2.4499999999999997
Qatar Airways,3,1,1.7222222222222223
MindShift CBT,3,1,3.0444444444444443
Handy,3,1,3.0
Amazon Echo,3,1,2.8333333333333335
Hill's Science Diet,3,1,1.3333333333333333
Relay,3,1,2.8666666666666667
Amwell,3,1,3.75
Looker,3,1,3.466666666666667
Eufy X10 Pro Omni,3,1,2.8833333333333333
Lenovo Legion Slim 5,3,1,2.733333333333333
IQBAR,3,1,2.6444444444444444
JumpCloud,3,1,4.333333333333333
AWS,3,1,2.0
Mend,3,1,3.1999999999999997
The Cleaning Authority,3,1,1.8611111111111114
Canon EOS R50,3,1,2.5555555555555554
Blumira,3,1,1.9333333333333333
Thorne Research,3,1,1.0
Apple Watch Series 10,3,1,1.0
TaskRabbit,3,1,2.6222222222222222
Tide Purclean,3,1,1.8333333333333333
Tealium,3,1,2.4
Capital One Venture X Business,3,1,2.6666666666666665
Square Invoices,2,1,4.916666666666666
Blueland Laundry Tablets,2,1,2.9
Kareo,2,1,2.2
ASE Certification,2,1,1.0
Justworks,2,1,5.0
Christian Brothers Automotive,2,1,4.333333333333333
Treasure Data,2,1,3.9333333333333336
ThoughtSpot,2,1,3.7
Nikon Z5,2,1,3.5
KinderCare,2,1,2.833333333333333
SentinelOne,2,1,2.0
The Maids,2,1,3.0
The Goddard School,2,1,2.8333333333333335
Hyatt World of Hyatt,2,1,2.5
Hume Supernatural,2,1,2.0
Hubitat Elevation,2,1,3.5
Teladoc Health,2,1,2.8
Apple MacBook Air M4,2,1,1.5
Aloha,2,1,2.166666666666667
Kiwi.com,2,1,3.75
British Airways Club Suite,2,1,3.6
American Express Platinum,2,1,2.0
American Express Business Gold Card,2,1,1.6666666666666667
Canon EOS R10,2,1,2.5
Mailchimp,2,1,4.5
MaidPro,2,1,1.5
Ramp Card,2,1,4.633333333333333
Ramp,2,1,5.666666666666666
VMware Cloud Foundation,2,1,5.083333333333334
Lume,2,1,1.3333333333333335
Lufthansa,2,1,2.7916666666666665
Capital One Spark Miles for Business,2,1,2.5
Hopper,2,1,4.9
Updox,2,1,3.633333333333333
LogRhythm,2,1,3.166666666666667
Carbon Black,2,1,3.5
Care.com,2,1,3.466666666666667
Cerner,2,1,2.0
Licensing and Accreditation,2,1,2.0
ActionIQ,2,1,3.0
Epic,2,1,1.2
Salesforce Marketing Cloud,2,1,2.833333333333333
Samsung SmartThings Hub,2,1,1.5
Shark AI Ultra 2-in-1,2,1,3.333333333333333
The Grounds Guys,2,1,3.5
Nikon Z50 II,2,1,3.833333333333333
Google Looker Studio,2,1,3.1
Ecovacs Deebot X2 Omni,2,1,2.0
Bloomreach Engagement,2,2,4.633333333333333
Sumo Logic Cloud SIEM,2,1,5.333333333333334
Betterment Premium,2,1,3.05
Google Cloud,2,1,3.0
Apple Watch Series 9,2,1,2.375
Splunk Cloud,2,1,3.0
Barebells,2,1,3.2666666666666666
Oura Ring Gen 4,2,1,2.875
Home Assistant Green,2,1,1.0
Stumptown,2,1,3.375
Adobe Real-Time CDP,2,1,4.666666666666666
Sony a6700,2,1,1.1
Dreame L20 Ultra,2,1,2.666666666666667
Dreame X40 Ultra,2,1,2.0
Practice Fusion,2,1,2.166666666666667
Stripe,2,1,3.666666666666667
Staff-to,2,1,1.5
Anker Soundcore Space Q45,2,1,3.5
Tealium AudienceStream,2,1,4.125
Dell XPS 14,2,1,3.3
Primrose Schools,2,1,2.7916666666666665
Dell XPS 15,2,1,1.8333333333333333
Hightouch,2,1,3.525
Anker Soundcore Space One Pro,2,1,3.575
Delta One,2,1,3.625
Eufy Clean X10 Pro Omni,2,1,2.2
Emirates,2,1,1.4
Teacher-to-Child Ratio,2,1,1.3
Blueland,2,1,3.25
Whoop 5.0,2,1,2.8
Permits and Code Compliance,1,1,6.0
Vanguard PAS,1,1,7.666666666666667
VMware Cloud,1,1,3.5
AdvancedMD,1,1,2.0
Personal Capital,1,1,5.0
VMware Cloud on AWS,1,1,4.0
RXBAR Protein Bars,1,1,4.6
Perfect Bar Original,1,1,2.0
YourMechanic,1,1,3.5
Peet's Major Dickason's Reserve,1,1,5.666666666666667
Peet's Coffee,1,1,4.0
Zoho Invoice,1,1,5.75
Permit and code knowledge,1,1,3.0
Vanguard Personal Advisor,1,1,2.5
QlikView,1,1,3.0
Verve Coffee Roasters,1,1,5.4
Warranty on Workmanship,1,1,3.25
Promix,1,1,2.6666666666666665
Primally Pure,1,1,1.3333333333333333
Proper licensing and insurance,1,1,1.0
Primal Kitchen,1,1,3.25
ASE,1,1,1.5
Wave Invoicing,1,1,3.0
Purina Pro Plan Adult,1,1,3.0
Purina Pro Plan Adult Complete Essentials,1,1,1.0
Wyndham Rewards,1,1,6.0
Power BI,1,1,2.0
Acer Swift X 14,1,1,3.0
WHOOP 4.0,1,1,4.75
Qatar Airways Qsuite,1,1,1.0
Virgin Atlantic Upper Class,1,1,3.6
Polar Pacer Pro,1,1,4.0
Quest Bar,1,1,2.0
Quest Nutrition,1,1,2.0
Yardzen,1,1,1.6666666666666667
Quest Protein Bars,1,1,5.2
Yelp,1,1,8.333333333333334
Razer Blade 14,1,1,3.3333333333333335
Salesforce Data Cloud,1,1,1.8
Relay Business Banking,1,1,3.5
Relay Financial,1,1,2.6666666666666665
Sennheiser Momentum 4,1,1,3.0
Shark AI Ultra,1,1,3.25
Tebra,1,1,2.0
Shark IQ Robot,1,1,1.0
Shark Matrix Plus 2-in-1,1,1,4.25
Shark Matrix RV2600,1,1,3.0
SilverCloud,1,1,1.6666666666666667
SimplePractice Telehealth,1,1,2.2
ASE-certified independent shops,1,1,1.3333333333333333
Skiplagged,1,1,3.0
ASUS,1,1,1.6666666666666667
Sumo Logic,1,1,4.75
Snowflake,1,1,2.0
Sonos Ace,1,1,4.5
Sony,1,2,1.1666666666666665
ASE-certified mechanics,1,1,1.0
Sony A6700,1,1,2.0
Sony A7C II,1,1,1.0
Sony Alpha a6400,1,1,1.0
Sony WH-CH720N,1,1,1.0
Sophos Intercept X,1,1,5.0
Sophos Intercept X with XDR,1,1,5.0
Specialization in Kitchens,1,1,2.0
Specialization in Your Vehicle Make,1,1,3.0
Strong local references and recent reviews,1,1,4.0
Splunk Cloud Platform,1,1,6.333333333333333
Stripe Billing,1,1,3.0
Staff Longevity and Turnover,1,1,2.2
Spruce Health,1,1,2.4
Sennheiser,1,1,2.6666666666666665
ASUS TUF Gaming A14,1,1,4.333333333333333
Tide purclean,1,1,3.5
Sailthru,1,1,2.0
Renovation-specific experience,1,1,1.3333333333333333
RepairPal Certified Shops,1,1,2.0
RepairPal Certified shops,1,1,3.3333333333333335
Reviews and References,1,1,6.2
Reviews and Reputation,1,1,2.0
Reviews and referrals,1,1,2.4
VMware Carbon Black,1,1,4.8
Ritual,1,1,5.25
Roborock,1,1,1.0
Roborock S8 Pro Ultra,1,1,1.0
Safety and Cleanliness,1,1,3.0
AWS Outposts,1,1,2.0
Unwinding Anxiety,1,1,2.3333333333333335
Salesforce CDP,1,1,2.75
Toyota dealership service centers,1,1,4.666666666666667
United Club Infinite Card,1,1,4.0
Salesforce Marketing Cloud Engagement,1,1,4.0
Samsung SmartThings,1,1,1.0
United Airlines,1,1,5.666666666666667
