query_id,category,fleiss_kappa,n_brands
Q01,b2b_saas,0.3407,6
Q02,b2b_saas,0.2986,11
Q03,b2b_saas,0.1711,12
Q04,b2b_saas,0.4187,8
Q05,b2b_saas,0.1435,17
Q06,healthcare_wellness,0.2874,12
Q07,healthcare_wellness,0.361,9
Q08,healthcare_wellness,0.0024,10
Q09,healthcare_wellness,-0.0369,24
Q10,healthcare_wellness,0.2725,11
Q11,consumer_electronics,0.063,11
Q12,consumer_electronics,0.1798,14
Q13,consumer_electronics,-0.04,12
Q14,consumer_electronics,0.085,17
Q15,consumer_electronics,-0.0236,17
Q16,local_services,-0.0995,17
Q17,local_services,-0.0053,10
Q18,local_services,-0.0985,23
Q19,local_services,-0.0863,17
Q20,local_services,-0.1034,14
Q21,financial_services,0.071,16
Q22,financial_services,0.3718,8
Q23,financial_services,0.1619,11
Q24,financial_services,0.3695,10
Q25,financial_services,0.0685,17
Q26,cpg,0.0663,24
Q27,cpg,0.008,13
Q28,cpg,0.1429,9
Q29,cpg,0.0313,17
Q30,cpg,0.1163,11
Q31,enterprise_software,0.0826,17
Q32,enterprise_software,0.3167,12
Q33,enterprise_software,0.4013,9
Q34,enterprise_software,0.4193,12
Q35,enterprise_software,0.291,14
Q36,travel_hospitality,0.4571,7
Q37,travel_hospitality,0.0074,14
Q38,travel_hospitality,0.4515,10
Q39,travel_hospitality,0.4027,16
Q40,travel_hospitality,0.2325,10
